n,L,k,level,shots,patch,edge,M,var,lo,hi,shot_var,reported_std2,signal,sig_lo,sig_hi,kurtosis,mean_z,eps_N,hi_lo,criterion_b_pass,pred,pred_sigma,pred_kind,pred_source,pred_commit,pred_frozen,pred_n,pred_note,pred_noiseless,ratio_raw,ratio_signal,z_raw,z_signal,inside_ci,flag,jobs
37,1,1,0,4096,4x10,93_103,200,0.220638,0.186396,0.253892,9.498e-05,9.498e-05,0.220543,0.186301,0.253797,2.25541,1.39519,0.000430665,1.36211,True,0.227914,0.0189486,exact,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,exact (M = 200 sample) row: no propagation row at this depth,0.242098,0.968073,0.967656,-0.284209,-0.287918,True,,dao2n878gn2s739na8cg
37,1,1,1,4096,4x10,93_103,200,0.236635,0.200165,0.272035,0.000100663,0.000100663,0.236534,0.200064,0.271934,2.23826,1.39232,0.000425574,1.35906,True,0.227914,0.0189486,exact,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,exact (M = 200 sample) row: no propagation row at this depth,0.242098,1.03826,1.03782,0.330733,0.326915,True,,dao2nq0pqrnc7399e0k0
37,2,1,0,4096,4x10,93_103,200,0.0608258,0.0466526,0.0750123,0.000112845,0.000112845,0.060713,0.0465398,0.0748995,3.84377,1.2414,0.00185866,1.60789,True,0.0693595,6.45359e-05,propagation,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,0.0780831,0.876965,0.875338,-1.17949,-1.19508,True,,dao2n878gn2s739na8cg dao2n8opqrnc7399dvv0
37,2,1,1,4096,4x10,93_103,200,0.0640091,0.0491591,0.0788214,0.000115209,0.000115209,0.0638939,0.0490439,0.0787062,3.8117,1.24301,0.00180313,1.60339,True,0.0693595,6.45359e-05,propagation,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,0.0780831,0.922861,0.9212,-0.707028,-0.722252,True,,dao2nq0pqrnc7399e0k0 dao2nqopqrnc7399e0lg
37,2,1,2,4096,4x10,93_103,400,0.0614509,0.0503766,0.0731042,0.000488281,0.000833773,0.0609626,0.0498883,0.072616,4.53558,-0.41082,0.00800952,1.45116,True,0.0693595,6.45359e-05,propagation,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,0.0780831,0.885977,0.878937,-1.36394,-1.44815,True,"level 2 (ZNE): z reported, not read as a Deviation 19 comparison (H4; extrapolation noise, Fig. 5)",dao2p4dr85ps73fen8pg dao2p5n8gn2s739naao0
37,4,1,0,4096,4x10,93_103,200,0.0117453,0.00791003,0.0158857,0.000120265,0.000120265,0.0116251,0.00778976,0.0157654,6.98781,0.0747077,0.0103453,2.0083,True,0.00930939,2.75494e-05,propagation,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,0.0113157,1.26167,1.24875,1.19712,1.13802,True,,dao2n8opqrnc7399dvv0
37,4,1,1,4096,4x10,93_103,200,0.0124156,0.00831227,0.0168789,0.000126748,0.000126748,0.0122889,0.00818552,0.0167521,7.23058,0.171092,0.010314,2.03059,True,0.00930939,2.75494e-05,propagation,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,0.0113157,1.33367,1.32005,1.42125,1.36326,True,,dao2nqopqrnc7399e0lg
37,8,1,0,4096,4x10,93_103,200,0.000324057,0.000223864,0.000439845,0.000122002,0.000122002,0.000202055,0.000101861,0.000317842,6.89712,0.624303,0.603808,1.96479,True,0.000238167,4.04707e-06,propagation,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,0.000351077,1.36063,0.848373,1.55466,-0.653661,True,,dao2naf8gn2s739na8f0
37,8,1,1,4096,4x10,93_103,400,0.000307551,0.000245115,0.000376052,0.000127582,0.000127582,0.000179969,0.000117533,0.00024847,5.91322,0.0790214,0.708913,1.53419,True,0.000238167,4.04707e-06,propagation,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,0.000351077,1.29132,0.755639,2.06209,-1.72968,False,,dao2ns78gn2s739na920 dao2ntgpqrnc7399e0pg
37,8,1,2,4096,4x10,93_103,400,0.000628577,0.000427083,0.00092413,0.000488281,0.0026116,0.000140296,-6.11978e-05,0.000435849,17.8354,0.716695,3.48036,2.16382,True,0.000238167,4.04707e-06,propagation,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,0.000351077,2.63923,0.589066,3.07738,-0.771461,False,"level 2 (ZNE): z reported, not read as a Deviation 19 comparison (H4; extrapolation noise, Fig. 5)",dao2p5n8gn2s739naao0 dao2p6lr85ps73fen8s0
37,8,4,1,4096,4x10,93_103,200,0.000297555,0.00021575,0.000392165,0.000123673,0.000123673,0.000173882,9.20764e-05,0.000268492,5.66182,-0.0992247,0.71125,1.81769,True,,,,,,False,,,,,,,,,"no prediction (k = L/2, L - 1: no pre-drawn row)",dao2nuv8gn2s739na96g
37,8,7,1,4096,4x10,93_103,200,0.00030766,0.000226051,0.00040781,0.000128017,0.000128017,0.000179644,9.80342e-05,0.000279793,5.63911,0.226386,0.712615,1.80406,True,,,,,,False,,,,,,,,,"no prediction (k = L/2, L - 1: no pre-drawn row)",dao2nuv8gn2s739na96g dao2o078gn2s739na990
37,8,8,1,4096,4x10,93_103,200,0.000549369,0.000357242,0.000780582,0.000124872,0.000124872,0.000424497,0.00023237,0.00065571,8.88498,0.380987,0.294165,2.18502,True,0.000398482,4.38891e-06,propagation,main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,0.000600857,1.37865,1.06528,1.39599,0.240685,True,,dao2o078gn2s739na990
37,12,1,0,4096,4x10,93_103,200,0.000128091,0.0001038,0.00015398,0.00012204,0.00012204,6.05078e-06,-1.82403e-05,3.19398e-05,3.08439,-0.84351,20.1694,1.48343,True,6.99089e-06,6.26227e-07,propagation (not converged),main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,1.39784e-05,18.3226,0.865523,9.44873,-0.0733513,False,exploratory (shot floor; Deviation 37),dao2naf8gn2s739na8f0 dao2nb02fm4c73f4scg0
37,12,1,1,4096,4x10,93_103,400,0.000120911,0.000105175,0.000136749,0.000128664,0.000128664,-7.75395e-06,-2.3489e-05,8.08447e-06,2.71923,-1.33901,,1.3002,True,6.99089e-06,6.26227e-07,propagation (not converged),main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,1.39784e-05,17.2954,-1.10915,14.1009,-1.8251,False,exploratory (shot floor; Deviation 37),dao2ns78gn2s739na920 dao2ntgpqrnc7399e0pg dao2o1v8gn2s739na9cg
37,12,6,1,4096,4x10,93_103,200,0.000137368,0.000111269,0.000163999,0.000127045,0.000127045,1.03233e-05,-1.5776e-05,3.69539e-05,2.91251,0.966994,12.3066,1.4739,True,,,,,,False,,,,,,,,,"no prediction (k = L/2, L - 1: no pre-drawn row)",dao2o1v8gn2s739na9cg dao2o3lr85ps73fen7j0
37,12,11,1,4096,4x10,93_103,200,0.000174988,0.00014503,0.000206582,0.000129843,0.000129843,4.51449e-05,1.51865e-05,7.67388e-05,2.64425,0.340705,2.87614,1.42441,True,,,,,,False,,,,,,,,,"no prediction (k = L/2, L - 1: no pre-drawn row)",dao2o3lr85ps73fen7j0
37,12,12,1,4096,4x10,93_103,200,0.0001524,0.000116807,0.000191513,0.000129295,0.000129295,2.31048e-05,-1.24884e-05,6.22179e-05,4.05092,0.577155,5.59604,1.63957,True,1.37062e-05,7.0238e-07,propagation (not converged),main_grid_redraw_2026-09-20T1750_n40.csv,1cce692,False,37,,2.68492e-05,11.1191,1.68572,7.2725,0.492823,False,exploratory (shot floor; Deviation 37),dao2o4o2fm4c73f4sdg0
50,1,1,0,4096,6x10,43_44,200,0.218464,0.182919,0.251834,9.52706e-05,9.52706e-05,0.218369,0.182824,0.251739,2.33018,-1.37589,0.000436282,1.37675,True,0.228718,0.0190313,exact,main_grid_redraw_2026-09-20T1750_n60.csv,3953fc5,False,50,exact (M = 200 sample) row: no propagation row at this depth,0.242098,0.955171,0.954754,-0.395741,-0.399418,True,,dao2nb02fm4c73f4scg0
50,1,1,1,4096,6x10,43_44,200,0.232969,0.195461,0.268469,0.000102016,0.000102016,0.232867,0.195359,0.268367,2.32634,-1.36341,0.000438088,1.37352,True,0.228718,0.0190313,exact,main_grid_redraw_2026-09-20T1750_n60.csv,3953fc5,False,50,exact (M = 200 sample) row: no propagation row at this depth,0.242098,1.01859,1.01814,0.159675,0.155844,True,,dao2o4o2fm4c73f4sdg0 dao2o5g2fm4c73f4sdgg
50,2,1,0,4096,6x10,43_44,200,0.0725036,0.057252,0.0879157,0.000111647,0.000111647,0.0723919,0.0571403,0.0878041,3.35218,0.0442379,0.00154226,1.53559,True,0.0611531,0.00683365,exact,main_grid_redraw_2026-09-20T1750_n60.csv,3953fc5,False,50,exact (M = 200 sample) row: no propagation row at this depth,0.0693288,1.18561,1.18378,1.09275,1.08201,True,,dao2ncf8gn2s739na8hg
50,2,1,1,4096,6x10,43_44,200,0.0785901,0.0622068,0.0949997,0.000120654,0.000120654,0.0784695,0.0620861,0.094879,3.32297,0.0819432,0.00153759,1.52716,True,0.0611531,0.00683365,exact,main_grid_redraw_2026-09-20T1750_n60.csv,3953fc5,False,50,exact (M = 200 sample) row: no propagation row at this depth,0.0693288,1.28514,1.28316,1.61424,1.60307,False,,dao2o5g2fm4c73f4sdgg
50,4,1,0,4096,6x10,43_44,200,0.00794481,0.00546932,0.0107459,0.000120679,0.000120679,0.00782413,0.00534864,0.0106252,6.86578,2.07566,0.015424,1.96475,True,0.0096074,2.78846e-05,propagation,main_grid_redraw_2026-09-20T1750_n60.csv,3953fc5,False,50,,0.0115904,0.826947,0.814386,-1.23486,-1.3245,True,,dao2ncf8gn2s739na8hg dao2ndlr85ps73fen6q0
50,4,1,1,4096,6x10,43_44,200,0.00862936,0.00588863,0.0117763,0.000130003,0.000130003,0.00849936,0.00575863,0.0116463,7.13623,2.02693,0.0152956,1.99984,True,0.0096074,2.78846e-05,propagation,main_grid_redraw_2026-09-20T1750_n60.csv,3953fc5,False,50,,0.0115904,0.898199,0.884668,-0.651053,-0.737592,True,,dao2o6gpqrnc7399e14g
50,8,1,0,4096,6x10,43_44,200,0.000302982,0.00020803,0.000414451,0.000121997,0.000121997,0.000180985,8.60323e-05,0.000292453,7.1498,-1.20303,0.674074,1.99227,True,0.000257163,4.08403e-06,propagation (not converged),main_grid_redraw_2026-09-20T1750_n60.csv,3953fc5,False,50,,0.000382808,1.17817,0.703774,0.867494,-1.44229,True,,dao2ndlr85ps73fen6q0
